created_at,experiment_name,model_name,score,params,scoring,seed
2026-05-04T21:50:25.900960,v1,CatBoost,-0.11648020909986492,"{'preprocessor__num__scaler': 'passthrough', 'models__subsample': 0.66, 'models__rsm': 0.9, 'models__random_strength': 1, 'models__learning_rate': 0.05, 'models__l2_leaf_reg': 1, 'models__iterations': 1000, 'models__depth': 5, 'models': CatBoostRegressor(loss_function='RMSE', random_state=1027309, verbose=0)}",neg_root_mean_squared_error,1027309
2026-05-04T21:57:52.919704,v1,RandomForest,-0.14237970791242907,"{'preprocessor__num__scaler': 'passthrough', 'models__n_estimators': 150, 'models__max_depth': 12, 'models': RandomForestRegressor(random_state=1027309)}",neg_root_mean_squared_error,1027309
2026-05-04T22:10:28.716613,v1,GradientBoosting,-0.12205580657524236,"{'preprocessor__num__scaler': 'passthrough', 'models__subsample': 1.0, 'models__n_estimators': 500, 'models__max_depth': 3, 'models__learning_rate': 0.1, 'models': GradientBoostingRegressor(random_state=1027309)}",neg_root_mean_squared_error,1027309
2026-05-04T22:10:48.071690,v1,KNN,-0.16542219415864134,"{'preprocessor__num__scaler': StandardScaler(), 'models__weights': 'distance', 'models__p': 1, 'models__n_neighbors': 9, 'models': KNeighborsRegressor()}",neg_root_mean_squared_error,1027309
2026-05-04T22:10:52.904098,v1,Linear,-0.15605923286861512,"{'preprocessor__num__scaler': StandardScaler(), 'models__fit_intercept': True, 'models': LinearRegression()}",neg_root_mean_squared_error,1027309
2026-05-04T22:11:06.017580,v1,Ridge,-0.1386509064975351,"{'preprocessor__num__scaler': RobustScaler(), 'models__fit_intercept': True, 'models__alpha': 10.0, 'models': Ridge(random_state=1027309)}",neg_root_mean_squared_error,1027309
2026-05-04T22:11:26.486710,v1,Lasso,-0.13775395009521998,"{'preprocessor__num__scaler': StandardScaler(), 'models__fit_intercept': True, 'models__alpha': 0.001, 'models': Lasso(max_iter=10000, random_state=1027309)}",neg_root_mean_squared_error,1027309
2026-05-04T22:12:35.235386,v1,ElasticNet,-0.13648284846138065,"{'preprocessor__num__scaler': RobustScaler(), 'models__l1_ratio': 0.5, 'models__fit_intercept': True, 'models__alpha': 0.001, 'models': ElasticNet(max_iter=10000, random_state=1027309)}",neg_root_mean_squared_error,1027309
2026-05-04T22:50:39.547045,v1,GradientBoosting,-0.12000629044217052,"{'preprocessor__num__scaler': 'passthrough', 'models__subsample': 1.0, 'models__n_estimators': 800, 'models__min_samples_split': 2, 'models__min_samples_leaf': 3, 'models__max_features': 'sqrt', 'models__max_depth': 3, 'models__loss': 'squared_error', 'models__learning_rate': 0.03, 'models': GradientBoostingRegressor(random_state=1027309)}",neg_root_mean_squared_error,1027309
2026-05-04T23:21:54.275394,v1,RandomForest,-0.13805486279784113,"{'preprocessor__num__scaler': 'passthrough', 'models__n_estimators': 400, 'models__min_samples_split': 2, 'models__min_samples_leaf': 2, 'models__max_samples': None, 'models__max_features': 0.5, 'models__max_depth': 24, 'models__bootstrap': True, 'models': RandomForestRegressor(random_state=1027309)}",neg_root_mean_squared_error,1027309
2026-05-04T23:41:40.326399,v2,Lasso,-0.16752540926350193,"{'preprocessor__num__scaler': StandardScaler(), 'models__fit_intercept': True, 'models__alpha': 0.001, 'models': Lasso(max_iter=10000, random_state=1027309)}",neg_root_mean_squared_error,1027309
2026-05-04T23:50:05.649286,v3,ElasticNet,-0.1562887257875745,"{'preprocessor__num__scaler': RobustScaler(), 'models__l1_ratio': 0.5, 'models__fit_intercept': True, 'models__alpha': 0.0001, 'models': ElasticNet(max_iter=10000, random_state=1027309), 'feature_selection__k': 60}",neg_root_mean_squared_error,1027309
2026-05-05T00:05:47.662661,v2,RandomForest,-0.14353407389404843,"{'preprocessor__num__scaler': 'passthrough', 'models__n_estimators': 400, 'models__min_samples_split': 2, 'models__min_samples_leaf': 2, 'models__max_samples': 0.7, 'models__max_features': 0.5, 'models__max_depth': 16, 'models__bootstrap': True, 'models': RandomForestRegressor(random_state=1027309), 'feature_selection__k': 60}",neg_root_mean_squared_error,1027309
2026-05-05T00:12:50.796499,v2,GradientBoosting,-0.13551990397359046,"{'preprocessor__num__scaler': 'passthrough', 'models__subsample': 0.7, 'models__n_estimators': 1600, 'models__min_samples_split': 5, 'models__min_samples_leaf': 5, 'models__max_features': 'sqrt', 'models__max_depth': 3, 'models__loss': 'squared_error', 'models__learning_rate': 0.03, 'models': GradientBoostingRegressor(random_state=1027309), 'feature_selection__k': 60}",neg_root_mean_squared_error,1027309
2026-05-05T04:15:24.507930,v2,KNN,-0.16188150680578942,"{'preprocessor__num__scaler': StandardScaler(), 'models__weights': 'distance', 'models__p': 1, 'models__n_neighbors': 15, 'models': KNeighborsRegressor(), 'feature_selection__k': 60}",neg_root_mean_squared_error,1027309
2026-05-05T04:15:32.739588,v2,Linear,-0.156496822883512,"{'preprocessor__num__scaler': MinMaxScaler(), 'models__fit_intercept': True, 'models': LinearRegression(), 'feature_selection__k': 60}",neg_root_mean_squared_error,1027309
2026-05-05T04:15:49.044646,v2,Ridge,-0.15480203681381494,"{'preprocessor__num__scaler': RobustScaler(), 'models__fit_intercept': True, 'models__alpha': 100.0, 'models': Ridge(random_state=1027309), 'feature_selection__k': 60}",neg_root_mean_squared_error,1027309
2026-05-05T04:16:05.455505,v2,Lasso,-0.1553383254950707,"{'preprocessor__num__scaler': MinMaxScaler(), 'models__fit_intercept': False, 'models__alpha': 0.0001, 'models': Lasso(max_iter=10000, random_state=1027309), 'feature_selection__k': 60}",neg_root_mean_squared_error,1027309
2026-05-05T04:16:25.464118,v2,ElasticNet,-0.1562887257875745,"{'preprocessor__num__scaler': RobustScaler(), 'models__l1_ratio': 0.5, 'models__fit_intercept': True, 'models__alpha': 0.0001, 'models': ElasticNet(max_iter=10000, random_state=1027309), 'feature_selection__k': 60}",neg_root_mean_squared_error,1027309
2026-05-05T10:45:37.603628,v2,CatBoost,-0.1325498072345551,"{'preprocessor__num__scaler': 'passthrough', 'models__subsample': 0.66, 'models__rsm': 0.7, 'models__random_strength': 2, 'models__learning_rate': 0.01, 'models__l2_leaf_reg': 7, 'models__iterations': 6000, 'models__depth': 7, 'models': CatBoostRegressor(loss_function='RMSE', random_state=1027309, verbose=0), 'feature_selection__k': 70}",neg_root_mean_squared_error,1027309
2026-05-05T12:11:26.763330,v3,Linear,-0.1609544895035897,"{'preprocessor__num__scaler': StandardScaler(), 'models__fit_intercept': False, 'models': LinearRegression()}",neg_root_mean_squared_error,1027309
2026-05-05T12:46:49.791268,v3,RandomForest,-0.13809260599745327,"{'preprocessor__num__scaler': 'passthrough', 'models__n_estimators': 400, 'models__min_samples_split': 2, 'models__min_samples_leaf': 2, 'models__max_samples': None, 'models__max_features': 0.5, 'models__max_depth': 24, 'models__bootstrap': True, 'models': RandomForestRegressor(random_state=1027309)}",neg_root_mean_squared_error,1027309
2026-05-05T13:15:09.275665,v3,GradientBoosting,-0.12010941773492156,"{'preprocessor__num__scaler': 'passthrough', 'models__subsample': 1.0, 'models__n_estimators': 800, 'models__min_samples_split': 2, 'models__min_samples_leaf': 3, 'models__max_features': 'sqrt', 'models__max_depth': 3, 'models__loss': 'squared_error', 'models__learning_rate': 0.03, 'models': GradientBoostingRegressor(random_state=1027309)}",neg_root_mean_squared_error,1027309
